,title,rating,time,price,calories,sodium,fat,protein,carbs,personal_rating,ingredients,url
21,Curry Coconut Oil Roasted Cauliflower,4.5,28.0,13.61,70.0,400.0,7.0,0,1,"[['Dan', 4.0], ['Ioana C.', 5.0], ['Yazmin Aguirre Rivera', 5.0], ['Kira Irene Butt', 5.0], ['Syn Wade', 4.0], ['Johanna Main', 5.0], ['Corey Julseth', 4.0], ['Claudia', 5.0], ['Meagan', 5.0], ['Deer', 4.0], ['Brendan N.', 3.0], ['Naomi C.', 5.0], ['Garcia', 3.0], ['Knc', 3.0], ['debbie', 5.0]]","['cauliflower florets ', 'coconut oil ', 'salt ', 'black pepper ', 'ground turmeric ', 'ground cumin ', 'ground coriander ']",https://www.yummly.com/recipe/Curry-Coconut-Oil-Roasted-Cauliflower-2684152
22,Healthy Salmon & Veggie Sheet Pan Dinner,4.5,40.0,33.46,500.0,270.0,11.0,40,69,"[['Abigail Clark', 4.0], ['Tyler Binkley', 5.0], ['Mary-Dell C', 4.0], ['LilyWaters', 5.0], ['Frances Lopez', 4.0], ['Lynn Lederhos', 5.0], ['Dwight Mcintosh', 5.0], ['Alexandru Chis', 5.0], ['ggttuio', 5.0], ['Rian', 5.0], ['Jessica Rang', 4.0], ['Kristibell Therese', 5.0], ['yaprak akdere', 5.0], ['Christi', 5.0], ['Alex Alex', 5.0], ['Dara', 5.0], ['Elif Sonel', 4.0], ['Hhihgug', 5.0], ['Georgia Naumann', 5.0], ['Alice', 5.0], ['Kinder', 5.0], ['Evans', 5.0], ['Maz T.', 5.0], ['Laura Fletty', 5.0], ['Greg Druck', 5.0], ['Brian', 5.0], ['Yuri Yuryev', 5.0], ['John S.', 5.0]]","['salmon ', 'baby potatoes ', 'asparagus ', 'salt ', 'garlic powder ', 'extravirgin olive oil ', 'fresh dill ', 'lemon wedges ']",https://www.yummly.com/recipe/Healthy-Salmon-_-Veggie-Sheet-Pan-Dinner-9029471
23,Quick and Easy Italian Meatballs,5.0,35.0,18.89,110.0,730.0,4.5,5,12,"[['Alina Luong', 5.0], ['Kimberly Luedtke', 5.0], ['Miriam Fenech', 5.0], ['Roy W.', 5.0], ['Eleonora P.', 5.0], ['fatima abass', 5.0]]","['85 lean ground beef ', 'garlic ', 'eggs ', 'dried breadcrumbs ', 'Italian seasoning ', 'grated Parmesan cheese ', 'salt ', 'black pepper ', 'marinara sauce ', 'grated Parmesan cheese ']",https://www.yummly.com/recipe/Quick-and-Easy-Italian-Meatballs-9073076
24,Juicy Oven-Baked Cajun Chicken Breasts,4.5,30.0,27.72,320.0,550.0,11.0,52,3,"[['Marissa Powers', 5.0], ['Rian', 5.0], ['Crist', 4.0], ['Luis C.', 5.0], ['BestHomeCook', 4.0], ['Nathalie Livolsi', 4.0], ['Jeff Jones', 5.0], ['Stephanie C.', 1.0], ['Isilia Hernandez', 5.0], ['Kendra Flowers', 5.0], ['Terri', 4.0], ['Yvonne Washington', 4.0], ['Chynna Santana', 5.0], ['Yolanda Penn', 4.0], ['Becky McNeil', 4.0], ['DuePancho', 3.0], ['Kimberly Washington', 5.0], ['Roxanne LeMans-Walden', 4.0], ['R', 5.0], ['Debra Taylor Purvis, AIBD', 5.0], ['Shamina K.', 4.0], ['Lauren AW', 4.0], ['Julie', 5.0], ['John A.', 4.0], ['Vickie Edwards', 4.0], ['Stan Jacobs', 5.0], ['Sarah Skipper', 4.0], ['Danielle W.', 5.0], ['Gabby M', 4.0], ['Amanda Litchhult', 2.0]]","['boneless skinless chicken breasts ', 'paprika ', 'garlic powder ', 'onion powder ', 'dried oregano ', 'dried thyme ', 'salt ', 'black pepper ', 'cayenne ', 'extravirgin olive oil ']",https://www.yummly.com/recipe/Juicy-Oven-Baked-Cajun-Chicken-Breasts-9029444
29,Juicy Herbed Weeknight Chicken Thighs,4.5,30.0,18.78,240.0,450.0,8.0,38,1,"[['Mike Scheeler', 5.0], ['Mary Laura Boyett', 5.0], ['Laura Harper', 5.0], ['Ayesha Lakes', 5.0], ['Tori Reese', 5.0], ['Ciana', 5.0], ['Jennifer', 4.0], ['Kate', 5.0], ['Johnny Gio', 5.0], ['Sanchez', 5.0]]","['boneless skinless chicken thighs ', 'cooking spray ', 'Italian seasoning ', 'red pepper flakes ', 'garlic powder ', 'salt ']",https://www.yummly.com/recipe/Juicy-Herbed-Weeknight-Chicken-Thighs-9029462
30,Mexican Wedding Cookies,4.5,45.0,15.51,150.0,20.0,9.0,1,17,"[['Sasha Mai', 4.0], ['Graciela S', 5.0], ['Johnson', 5.0], ['rand', 5.0], ['Sharyl', 5.0], ['Karmen Reynolds', 4.0]]","['pecans ', 'unsalted butter ', 'powdered sugar ', 'salt ', 'vanilla extract ', 'all purpose flour ', 'powdered sugar ']",https://www.yummly.com/recipe/Mexican-Wedding-Cookies-9088916
31,5-Ingredient Cheesecake,4.5,90.0,11.82,340.0,230.0,25.0,6,21,"[['Serena', 5.0], ['P F.', 5.0], ['Charlie R.', 5.0], ['Ajhas A', 5.0], ['ahgnisabus', 5.0], ['Nicole Friedt', 3.0], ['frida Penélope lopez', 4.0], ['rezist la victoriei', 5.0], ['madeline zimmer', 5.0], ['Altinel', 5.0], ['Alan', 5.0], ['Earl John', 5.0], ['Loren Kiefer', 1.0], ['Melinda Fancsal', 5.0], ['C', 5.0], ['Roelien Reyneke', 4.0], ['dhdhhd', 4.0], ['pooD retooP', 5.0], ['Tiny', 3.0], ['H', 5.0], ['Donna', 5.0], ['Diane Gasaway', 5.0], ['Matt Santarelli', 4.0], ['test', 5.0], ['caleb honeycutt', 5.0], ['Duane C.', 5.0], ['CYNTHIA LEHNIG', 5.0], ['T', 5.0]]","['cream cheese ', 'granulated sugar ', 'sour cream ', 'vanilla extract ', 'eggs ']",https://www.yummly.com/recipe/5-Ingredient-Cheesecake-2443645
35,Melt-In-Your-Mouth Fudgy Brownies ,4.5,45.0,32.87,530.0,200.0,27.0,6,77,"[['Tom Hughes', 4.0], ['Charlotte Wilkinson _ Student - MillsParkMS', 4.0], ['April Desrosiers', 5.0], ['Hannah Windau', 5.0], ['Sinead', 5.0], ['Prongs', 5.0], ['Padfoot', 5.0], ['naomi Chan', 4.0], ['Julia Shvartsman', 5.0], ['Laab Email', 5.0], ['Esie Buaful', 5.0], ['Tom Simpson', 5.0], ['Alexia Hollywood', 5.0], ['Dhuhanawuri Nugroho', 5.0], ['Rebecca Dye', 1.0], ['Julia', 5.0], ['GiftedSousChef', 5.0], ['Nigel', 5.0]]","['nonstick cooking spray ', 'butter ', 'bittersweet chocolate chips ', 'granulated sugar ', 'light brown sugar ', 'vanilla extract ', 'eggs ', 'allpurpose flour ', 'unsweetened cocoa powder ', 'baking soda ', 'salt ', 'semisweet chocolate chips ']",https://www.yummly.com/recipe/Melt-In-Your-Mouth-Fudgy-Brownies--9029527
40,Easy Egg And Cheese Casserole,4.5,48.0,8.17,170.0,420.0,12.0,12,1,"[['Bonnie Blue', 5.0], ['Simone  p.', 5.0], ['Robert Kelly', 4.0], ['Robby', 5.0], ['Nathan Winkler', 5.0], ['Destiny Sturdivant', 4.0], ['Posh', 4.0], ['johnson', 3.0], ['Blake Sain', 5.0]]","['eggs ', 'whole milk ', 'salt ', 'black pepper ', 'shredded cheddar cheese ']",https://www.yummly.com/recipe/Easy-Egg-And-Cheese-Casserole-9029558
43,Slow-Roasted Beef Tenderloin with Red Wine Mushroom Sauce,4.5,3.0,138.67,680.0,1350.0,47.0,43,9,"[['Sonja Nimlos', 5.0], ['Rachel', 5.0], ['tyler doran', 4.0], ['Sean McGlinchey', 5.0], ['Rainecity@yahoo.com', 4.0], ['Nick S.', 5.0]]","['cremini mushrooms ', 'onion ', 'shallot ', 'extra virgin olive oil ', 'tomato paste ', 'granulated sugar ', 'red pepper flakes ', 'dry red wine ', 'balsamic vinegar ', 'salted butter ', 'flour ', 'beef broth ', 'salted butter ', 'Worcestershire sauce ', 'Parmesan cheese ', 'salted butter ', 'salt ', 'freshly ground black pepper ', 'beef tenderloin ', 'garlic cloves ', 'kosher salt ', 'extra virgin olive oil ', 'freshly ground black pepper ', 'fresh thyme ', 'fresh rosemary ', 'flat leaf parsley ']",https://www.yummly.com/recipe/Slow-Roasted-Beef-Tenderloin-with-Red-Wine-Mushroom-Sauce-9083702
51,Easy 5-Ingredient Chicken Enchiladas,4.5,50.0,11.58,420.0,1120.0,23.0,24,30,"[['유진 김', 4.0], ['Marlene Silva', 5.0], ['Chelsey Peck Stewart', 2.0], ['Lala Bryant', 5.0], ['Chris Hughes', 4.0], ['Moh', 4.0], ['Audrey U.', 5.0], ['Trevor Sparks', 5.0], ['Colleen T.', 5.0], ['jesse B', 5.0], ['logan Nicole', 5.0], ['Dale Beck', 4.0], ['Michelle Farr', 5.0], ['Mimi', 5.0], ['Charity Fo-scott', 5.0], ['Daniel Martin', 4.0], ['Carly Caulfield', 5.0], ['Shelby Young', 5.0], ['Carlie', 4.0], ['Thomas Hampton', 5.0], ['carlos', 5.0], ['Dan Funk', 4.0], ['Shannon Ellis', 5.0], ['Mel stone', 3.0], ['Jacob Klaus', 5.0], ['Shadiat Desso', 5.0], ['Stephanie Lewis', 3.0], ['Carmen', 5.0], ['Erica Vincent', 5.0], ['Dylan Lastname', 5.0]]","['red enchilada sauce ', 'shredded rotisserie chicken ', 'Mexican cheese ', 'soft corn tortillas ', 'Mexican cheese ', 'cilantro ']",https://www.yummly.com/recipe/Easy-5-Ingredient-Chicken-Enchiladas-9073068
54,Crispy Sesame Tofu and Broccoli,4.5,55.0,32.57,370.0,1690.0,21.0,24,26,"[['MacCauley M. Lee', 4.0], ['Rondel', 5.0], ['Rochlen', 5.0], ['Jules Daher', 5.0], ['Lee W.', 4.0], ['Grey', 5.0], ['Emily', 4.0], ['Ivan Phillipsen', 4.0]]","['extra firm tofu ', 'garlic clove ', 'fresh ginger ', 'water ', 'cornstarch ', 'tamari ', 'light brown sugar ', 'rice vinegar ', 'toasted sesame oil ', 'crushed red pepper ', 'scallions ', 'salt ', 'pepper ', 'cornstarch ', 'neutral oil ', 'neutral oil ', 'broccoli florets ', 'water ', 'sesame seeds ']",https://www.yummly.com/recipe/Crispy-Sesame-Tofu-and-Broccoli-9097949
56,Herb & Garlic Roasted Chicken,4.5,100.0,19.25,550.0,570.0,41.0,43,2,"[['Cecilie B.', 5.0], ['Brian Hooks', 4.0], ['Cl', 4.0], ['Kieron C.', 4.0], ['Michael Philip Obeso', 5.0], ['Matthew', 4.0], ['Monzter', 2.0], ['Emily Berg', 5.0], ['Jared Zambito', 5.0], ['Suki', 4.0]]","['roasting chicken ', 'salt ', 'black pepper ', 'butter ', 'garlic ', 'fresh parsley ', 'fresh dill ', 'fresh rosemary ', 'fresh thyme ']",https://www.yummly.com/recipe/Herb-_-Garlic-Roasted-Chicken-2696765
64,Bakery-Style Frosted Sugar Cookies,4.5,42.0,41.55,600.0,270.0,33.0,5,71,"[['Briana Forte', 5.0], ['Paige Witthaus', 5.0], ['Noah Wilson', 3.0], ['Monica G.', 5.0], ['DeBe', 5.0], ['V A', 5.0], ['Lunsford', 5.0], ['Rachel Theodorou', 5.0], ['Amy A.', 5.0], ['Liss', 5.0], ['Edie S.', 4.0], ['Chimuka Chinene', 5.0], ['Richard Ricciuti', 3.0], ['Bau Hau', 5.0], ['chance', 5.0], ['SKINNER', 2.0], ['Stefanaaa', 5.0], ['Nik Lollar', 5.0], ['Lindsey VanderMolen', 5.0], ['Groller', 5.0], ['Jasmine Banks', 4.0], ['Ruth Rangan', 5.0], ['Gfandstillbaking!', 5.0]]","['unsalted butter ', 'granulated sugar ', 'eggs ', 'sour cream ', 'vanilla extract ', 'almond extract ', 'allpurpose flour ', 'baking soda ', 'baking powder ', 'salt ', 'unsalted butter ', 'cream cheese ', 'powdered sugar ', 'vanilla extract ', 'heavy cream ', 'salt ', 'food coloring ', 'sprinkles ']",https://www.yummly.com/recipe/Bakery-Style-Frosted-Sugar-Cookies-9029533
65,Sheet-Pan Fish Tacos,4.5,20.0,37.79,370.0,620.0,18.0,27,30,"[['Sonja Nimlos', 4.0], ['Mandy', 4.0], ['Jt', 5.0], ['Memory_error', 4.0], ['Kumkum', 5.0], ['Pam Divot', 5.0]]","['extravirgin olive oil ', 'lime juice ', 'fine sea salt ', 'tilapia fillets ', 'chili powder ', 'garlic powder ', 'fine sea salt ', 'ground cumin ', 'coriander ', 'red cabbage ', 'parsley ', 'cilantro ', 'green onions ', 'extravirgin olive oil ', 'lime juice ', 'honey ', 'fine sea salt ', 'black pepper ', 'corn tortillas ', 'lime wedges ', 'hot sauce ']",https://www.yummly.com/recipe/Sheet-Pan-Fish-Tacos-9145179
67,Cheesy Parmesan Roasted Asparagus,4.5,22.0,7.97,70.0,640.0,4.0,4,6,"[['David H.', 5.0], ['Kayla Simas', 5.0], ['Lisa Hankerson', 5.0], ['Erika Ingato', 5.0], ['Purcell', 5.0], ['Metzger', 5.0], ['Jack', 5.0], ['Ashley Makan', 5.0], ['Larissa', 5.0], ['Priscilla Gonzalez', 4.0], ['Mandy Rae', 4.0], ['Susan Taylor Payne', 4.0]]","['asparagus ', 'olive oil ', 'salt ', 'black pepper ', 'shredded Parmesan cheese ']",https://www.yummly.com/recipe/Cheesy-Parmesan-Roasted-Asparagus-9029427
71,Barbecue Baked Chicken Legs,4.5,40.0,27.3,440.0,680.0,21.0,41,18,"[['Angelisses Gomes', 5.0], ['Daniela Zuloaga Romero', 5.0], ['Molly Rogers', 5.0], ['Jamie', 5.0], ['Stef McEwan', 5.0], ['Dammon Saunders', 5.0], ['Rebecca Grackin', 5.0], ['Rebecca Gee', 5.0], ['Rich Martin', 4.0]]","['nonstick cooking spray ', 'chicken drumsticks ', 'sea salt ', 'black pepper ', 'barbecue sauce ', 'barbecue sauce ']",https://www.yummly.com/recipe/Barbecue-Baked-Chicken-Legs-9073054
74,Keto Garlic Rolls,4.5,45.0,30.07,190.0,310.0,15.0,10,4,"[['Desire Foster', 5.0], ['Emely Pietri', 5.0], ['Katrina Kirchner-Sissel', 3.0], ['Ellery', 5.0], ['maria', 5.0]]","['nonstick cooking spray ', 'shredded mozzarella cheese ', 'cream cheese ', 'large eggs ', 'almond flour ', 'grated Parmesan cheese ', 'garlic powder ', 'baking powder ', 'salt ', 'salted butter ', 'Italian seasoning ', 'grated Parmesan cheese ']",https://www.yummly.com/recipe/Keto-Garlic-Rolls-9085180
79,Easy Balsamic Roasted Vegetables,4.5,50.0,20.23,130.0,340.0,7.0,2,14,"[['Jason M.', 5.0], ['Maria', 4.0], ['Jessi Santos', 4.0], ['E Sonza', 5.0], ['Ольга Раменская', 5.0], ['Richard D.', 5.0], ['Chandru S', 4.0], ['Modie C.', 5.0], ['Deguara', 5.0], ['Christina', 5.0], ['Emin Ozkan', 5.0], ['Daniela Orta', 5.0], ['Kavanagh', 5.0], ['Geraldine', 5.0], ['Judy Richardson', 5.0], ['Raoul', 5.0], ['Kaylen Dillon', 5.0], ['Keller', 5.0], ['Najee Rashad', 5.0], ['MWC', 5.0], ['Christina Crain', 5.0], ['Jessica', 5.0]]","['sweet potatoes ', 'red bell pepper ', 'green bell pepper ', 'red onion ', 'olive oil ', 'balsamic vinegar ', 'salt ', 'garlic cloves ', 'fresh rosemary ', 'feta cheese ']",https://www.yummly.com/recipe/Easy-Balsamic-Roasted-Vegetables-9029544
80,Garlicky Lemon Asparagus,4.5,22.0,6.84,70.0,300.0,3.5,3,11,"[['Bailey Rhodes', 5.0], ['Nima', 4.0], ['Zachariah Brown', 5.0], ['Carrillo', 5.0], ['Julia Krynak', 5.0], ['Laura', 5.0], ['Stephanie Reynolds', 3.0], ['Sabrina Braddy', 2.0], ['Jeffrey Crouch', 3.0], ['J- Edits', 4.0], ['tressler m.', 5.0], ['Ray Osborne', 4.0], ['Ayumi Mosley', 4.0], ['Roland', 5.0], ['Sharon Chen', 5.0], ['Nixzaliz Rojas', 5.0], ['Hanshaw', 5.0], ['msk done yup what nn bb vv', 5.0]]","['garlic ', 'lemon ', 'asparagus ', 'olive oil ', 'salt ', 'black pepper ']",https://www.yummly.com/recipe/Garlicky-Lemon-Asparagus-9029424
83,Hamburger and Shells Casserole,4.5,43.0,11.85,200.0,910.0,9.0,18,10,"[['Maria Iribe', 3.0], ['Tierra H.', 4.0], ['Christina Lavelle', 4.0], ['Veronica Statham S.', 5.0], ['Deej H.', 4.0], ['Brandi Barrett', 5.0], ['Stacy Tomsich', 4.0], ['Guchshina', 5.0], ['Emily Rouse', 5.0]]","['nonstick cooking spray ', 'medium pasta shells ', 'salt ', 'nonstick cooking spray ', 'lean ground beef ', 'salt ', 'black pepper ', 'garlic powder ', 'condensed tomato soup ', 'water ', 'shredded mozzarella cheese ', 'shredded cheddar cheese ']",https://www.yummly.com/recipe/Hamburger-and-Shells-Casserole-9116034
86,Eggs Baked in Avocado,3.5,25.0,4.78,240.0,270.0,20.0,9,11,"[['Beth Mare', 1.0], ['Lucy Petrie', 5.0], ['AT', 3.0], ['Robert Kelly', 3.0], ['Keomony Vang', 5.0], ['Michelle Todd', 5.0], ['Youngberg', 1.0], ['Yummly User', 5.0], ['Carlson', 5.0], ['April R.', 5.0], ['Kathleen O.', 5.0], ['Recipe Blog', 5.0], ['M.Lo', 1.0], [""Kelly and Rick's Adventures Mitchell"", 5.0], ['Spider-man', 4.0], ['Jerry Keener', 3.0], ['Tali', 3.0], ['Craig Callaway', 5.0], ['What Up, Yo?', 3.0], ['Andrew Falcon', 1.0], ['Plackemeier', 5.0], ['Laura B.', 5.0], ['Chef Houston', 4.0], ['Laura Harper', 3.0], ['onbcro', 4.0], ['Steph', 5.0], ['jay mine', 5.0]]","['avocados ', 'salt ', 'black pepper ', 'eggs ']",https://www.yummly.com/recipe/Eggs-Baked-in-Avocado-9116032
90,Asian Sesame Roasted Broccoli,3.5,30.0,24.51,170.0,1060.0,11.0,7,16,"[['Daniela Weffer', 4.0], ['Faktor', 5.0], ['Natalie Chandler', 5.0], ['Maroof Choudhury', 5.0], ['Arthur Derrick', 4.0], ['katie s.', 5.0], ['Adam', 2.0], ['sarah s.', 5.0], ['Brunton', 5.0], ['Hdhdjd', 4.0], ['Bohannon', 3.0], ['Luis Zamudio', 4.0], ['Christine R.', 1.0], ['Nick S.', 4.0], ['Vinci Allen-Steward', 2.0]]","['broccoli florets ', 'tamari sauce ', 'sesame oil ', 'brown sugar ', 'crushed red pepper ', 'toasted sesame seeds ']",https://www.yummly.com/recipe/Asian-Sesame-Roasted-Broccoli-2684141
92,Healthy Garlicky Sweet Potato Fries,4.5,30.0,5.83,140.0,360.0,3.5,3,25,"[['Jen s', 5.0], ['Karen', 4.0], ['Елеонора Војновић', 5.0], ['Joseph Bass', 5.0], ['EDDIE', 5.0], ['Denisse', 5.0], ['Corlista Rhodes', 5.0], ['Krisztina S.', 5.0], ['Petri Finch', 5.0], ['Carolyn W.', 3.0], ['charlie', 5.0], ['Gale', 5.0]]","['sweet potatoes ', 'olive oil ', 'salt ', 'black pepper ', 'garlic ']",https://www.yummly.com/recipe/Healthy-Garlicky-Sweet-Potato-Fries-9029473
98,Frozen Gingersnap Pumpkin Pie,4.5,20.0,21.59,310.0,130.0,25.0,2,21,"[['Mahon', 3.0], ['Shelley Lawson', 5.0], ['Dani', 5.0], ['Erica Ann', 3.0], ['Brooke Fowles', 5.0]]","['gingersnap cookies ', 'salted butter ', 'salted butter ', 'all purpose flour ', 'heavy whipping cream ', 'dark brown sugar ', 'pumpkin pie spice ', 'salt ', 'canned pumpkin ', 'caramel sauce ']",https://www.yummly.com/recipe/Frozen-Gingersnap-Pumpkin-Pie-9088923
101,Easy White Cheese & Garlic Pizzas,4.0,20.0,32.54,110.0,170.0,5.0,5,10,"[['Desrosiers', 4.0], ['Candace Madry', 5.0], ['Ryley Payne', 3.0], ['Driver', 4.0], ['Gee', 5.0], ['Shawn', 5.0], ['JB', 4.0], ['Stacey Croley', 4.0], ['Mr. Brandon Martin', 5.0], ['Melissa Guyre', 5.0], ['Sarah', 5.0], ['User Testing Chef', 5.0]]","['naan ', 'olive oil ', 'garlic ', 'mozzarella cheese ', 'ricotta cheese ', 'Italian seasoning ', 'shaved Parmesan cheese ', 'basil leaves ']",https://www.yummly.com/recipe/Easy-White-Cheese-_-Garlic-Pizzas-9029496
